Name,Location,Country,Latitude,Longitude,Elevation,Type,VEI
Unnamed,Tonga-SW Pacific,Tonga,-21.38,-175.65,-500,Submarine volcano,0
Niuafo'ou,Tonga-SW Pacific,Tonga,-15.6,-175.63,260,Shield volcano,0
Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,0
Sirung,Lesser Sunda Is,Indonesia,-8.51,124.148,862,Complex volcano,0
Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,0
St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270,Complex volcano,0
Kick-'em-Jenny,W Indies,Netherlands,12.3,-61.63,-177,Submarine volcano,0
Liamuiga,W Indies,St. Kitts & Nevis,17.37,-62.8,1156,Stratovolcano,0
Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,0
Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,0
Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,0
Mauna Loa,Hawaiian Is,United States,19.475,-155.608,4170,Shield volcano,0
Mauna Loa,Hawaiian Is,United States,19.475,-155.608,4170,Shield volcano,0
Hualalai,Hawaiian Is,United States,19.692,-155.87,2523,Shield volcano,0
Hualalai,Hawaiian Is,United States,19.692,-155.87,2523,Shield volcano,0
San Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,0
Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,1
Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,1
Egon,Lesser Sunda Is,Indonesia,-8.67,122.45,1703,Stratovolcano,1
Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018,Complex volcano,1
Semeru,Java,Indonesia,-8.108,112.92,3676,Stratovolcano,1
Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,1
Papandayan,Java,Indonesia,-7.32,107.73,2665,Stratovolcano,1
Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,1
Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,1
Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,1
Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,1
Krakatau,Indonesia,Indonesia,-6.102,105.423,813,Caldera,1
Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.121,140,Stratovolcano,1
Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.121,140,Stratovolcano,1
Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784,Stratovolcano,1
Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,1
Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,1
Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,1
Kick-'em-Jenny,W Indies,Netherlands,12.3,-61.63,-177,Submarine volcano,1
Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,1
Pacaya,Guatemala,Guatemala,14.381,-90.601,2552,Complex volcano,1
Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1
Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1
Ambalatungan Group,Luzon-Philippines,Philippines,17.32,121.1,2329,Compound volcano,1
Popocatepetl,Mexico,Mexico,19.023,-98.622,5426,Stratovolcano,1
Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,1
Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,1
Unzen,Kyushu-Japan,Japan,32.75,130.3,1500,Complex volcano,1
Unzen,Kyushu-Japan,Japan,32.75,130.3,1500,Complex volcano,1
Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,1
Oshima,Izu Is-Japan,Japan,34.73,139.38,758,Stratovolcano,1
Yake-dake,Honshu-Japan,Japan,36.22,137.58,2455,Stratovolcano,1
Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,1
Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,1
Asama,Honshu-Japan,Japan,36.4,138.53,2560,Complex volcano,1
Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,1
Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,1
Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,1
San Jorge,Azores,Portugal,38.65,-28.08,1053,Fissure vent,1
E-san,Hokkaido-Japan,Japan,41.8,141.17,618,Stratovolcano,1
Krisuvik,Iceland-SW,Iceland,63.93,-22.1,379,Crater rows,1
Esjufjoll,Iceland-SE,Iceland,64.27,-16.65,1760,Stratovolcano,1
Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,1
Bardarbunga,Iceland-NE,Iceland,64.63,-17.53,2000,Stratovolcano,1
Krafla,Iceland-NE,Iceland,65.73,-16.78,650,Caldera,1
Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2
Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2
Villarrica,Chile-C,Chile,-39.42,-71.93,2847,Stratovolcano,2
Llaima,Chile-C,Chile,-38.692,-71.729,3125,Stratovolcano,2
Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,2
Unnamed,Chile-Is,Chile,-33.62,-76.83,-642,Submarine volcano,2
Tofua,Tonga-SW Pacific,Tonga,-19.75,-175.07,512,Caldera,2
Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.829,168.536,-2,Caldera,2
Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,2
Aoba,Vanuatu-SW Pacific,Vanuatu,-15.4,167.83,1496,Shield volcano,2
